strand_id;subject_id;strand_code;strand_name
401001;401;ENG_STRAND_1;Listening and Speaking
401002;401;ENG_STRAND_2;Reading
401003;401;ENG_STRAND_3;Grammar in use
401004;401;ENG_STRAND_4;Writing
402001;402;KIS_KSL_STRAND_1;Kusikiliza na Kuzungumza
402002;402;KIS_KSL_STRAND_2;Kusoma
402003;402;KIS_KSL_STRAND_3;Kuandika
402004;402;KIS_KSL_STRAND_4;Sarufi
404001;404;AGRI_STRAND_1;Conservation of Resources
404002;404;AGRI_STRAND_2;Food Production Processes
404003;404;AGRI_STRAND_3;Hygiene Practices
404004;404;AGRI_STRAND_4;Production Techniques
405001;405;SCI_TECH_STRAND_1;Living Things and their Environment
405002;405;SCI_TECH_STRAND_2;Matter
405003;405;SCI_TECH_STRAND_3;Force and Energy
406001;406;MATH_STRAND_1;Numbers
406002;406;MATH_STRAND_2;Measurement
406003;406;MATH_STRAND_3;Geometry
406004;406;MATH_STRAND_4;Data Handling
407001;407;REL_CRE_STRAND_1;Creation
407002;407;REL_CRE_STRAND_2;The Holy Bible
407003;407;REL_CRE_STRAND_3;The Life of Jesus Christ
407004;407;REL_CRE_STRAND_4;Christian Values
407005;407;REL_CRE_STRAND_5;The Church
407006;407;REL_CRE_STRAND_6;Morality and Social Media
408001;408;REL_IRE_STRAND_1;Qur'an
408002;408;REL_IRE_STRAND_2;Hadith
408003;408;REL_IRE_STRAND_3;Pillars of Iman
408004;408;REL_IRE_STRAND_4;Devotional Acts
408005;408;REL_IRE_STRAND_5;Akhlaq (Moral Teachings)
408006;408;REL_IRE_STRAND_6;Muamalaat (Social Relations)
408007;408;REL_IRE_STRAND_7;History of Islam
409001;409;REL_HIN_STRAND_1;Creation
409002;409;REL_HIN_STRAND_2;Manifestations of Paramatma
409003;409;REL_HIN_STRAND_3;Scriptures
409004;409;REL_HIN_STRAND_4;Worship
409005;409;REL_HIN_STRAND_5;Sudaachaar
409006;409;REL_HIN_STRAND_6;Yoga
409007;409;REL_HIN_STRAND_7;Principles of Dharma
409008;409;REL_HIN_STRAND_8;Utsav (Festivals)
410001;410;CRE_ARTS_STRAND_1;Creating and Executing
410002;410;CRE_ARTS_STRAND_2;Performing and Displaying
410003;410;CRE_ARTS_STRAND_3;Appreciation in Creative Arts
412001;412;SOC_STUD_STRAND_1;Natural and Built Environments
412002;412;SOC_STUD_STRAND_2;People and Population
412003;412;SOC_STUD_STRAND_3;Social Organisations
412004;412;SOC_STUD_STRAND_4;Resources and Economic Activities
412005;412;SOC_STUD_STRAND_5;Citizenship and Governance in Kenya
501001;501;ENG_STRAND_1;Listening and Speaking
501002;501;ENG_STRAND_2;Reading
501003;501;ENG_STRAND_3;Grammar in use
501004;501;ENG_STRAND_4;Writing
502001;502;KIS_KSL_STRAND_1;Kusikiliza na Kuzungumza
502002;502;KIS_KSL_STRAND_2;Kusoma
502003;502;KIS_KSL_STRAND_3;Kuandika
502004;502;KIS_KSL_STRAND_4;Sarufi
504001;504;AGRI_STRAND_1;Conservation of Resources
504002;504;AGRI_STRAND_2;Food Production Processes
504003;504;AGRI_STRAND_3;Hygiene Practices
504004;504;AGRI_STRAND_4;Production Techniques
505001;505;SCI_TECH_STRAND_1;Living Things and their Environment
505002;505;SCI_TECH_STRAND_2;Matter
505003;505;SCI_TECH_STRAND_3;Force and Energy
506001;506;MATH_STRAND_1;Numbers
506002;506;MATH_STRAND_2;Measurement
506003;506;MATH_STRAND_3;Geometry
506004;506;MATH_STRAND_4;Data Handling
507001;507;REL_CRE_STRAND_1;Creation
507002;507;REL_CRE_STRAND_2;The Holy Bible
507003;507;REL_CRE_STRAND_3;The Life of Jesus Christ
507004;507;REL_CRE_STRAND_4;Christian Values
507005;507;REL_CRE_STRAND_5;The Church
507006;507;REL_CRE_STRAND_6;Morality and Social Media
508001;508;REL_IRE_STRAND_1;Qur'an
508002;508;REL_IRE_STRAND_2;Hadith
508003;508;REL_IRE_STRAND_3;Pillars of Iman
508004;508;REL_IRE_STRAND_4;Devotional Acts
508005;508;REL_IRE_STRAND_5;Akhlaq (Moral Teachings)
508006;508;REL_IRE_STRAND_6;Muamalaat (Social Relations)
508007;508;REL_IRE_STRAND_7;History of Islam
509001;509;REL_HIN_STRAND_1;Creation
509002;509;REL_HIN_STRAND_2;Manifestations of Paramatma
509003;509;REL_HIN_STRAND_3;Scriptures
509004;509;REL_HIN_STRAND_4;Worship
509005;509;REL_HIN_STRAND_5;Sudaachaar
509006;509;REL_HIN_STRAND_6;Yoga
509007;509;REL_HIN_STRAND_7;Principles of Dharma
509008;509;REL_HIN_STRAND_8;Utsav (Festivals)
510001;510;CRE_ARTS_STRAND_1;Creating and Executing
510002;510;CRE_ARTS_STRAND_2;Performing and Displaying
510003;510;CRE_ARTS_STRAND_3;Appreciation in Creative Arts
512001;512;SOC_STUD_STRAND_1;Natural and Built Environments
512002;512;SOC_STUD_STRAND_2;People and Population
512003;512;SOC_STUD_STRAND_3;Social Organisations
512004;512;SOC_STUD_STRAND_4;Resources and Economic Activities
512005;512;SOC_STUD_STRAND_5;Citizenship and Governance in Kenya
601001;601;ENG_STRAND_1;Listening and Speaking
601002;601;ENG_STRAND_2;Reading
601003;601;ENG_STRAND_3;Grammar in use
601004;601;ENG_STRAND_4;Writing
602001;602;KIS_KSL_STRAND_1;Kusikiliza na Kuzungumza
602002;602;KIS_KSL_STRAND_2;Kusoma
602003;602;KIS_KSL_STRAND_3;Kuandika
602004;602;KIS_KSL_STRAND_4;Sarufi
604001;604;AGRI_STRAND_1;Conservation of Resources
604002;604;AGRI_STRAND_2;Food Production Processes
604003;604;AGRI_STRAND_3;Hygiene Practices
604004;604;AGRI_STRAND_4;Production Techniques
605001;605;SCI_TECH_STRAND_1;Living Things and their Environment
605002;605;SCI_TECH_STRAND_2;Matter
605003;605;SCI_TECH_STRAND_3;Force and Energy
606001;606;MATH_STRAND_1;Numbers
606002;606;MATH_STRAND_2;Measurement
606003;606;MATH_STRAND_3;Geometry
606004;606;MATH_STRAND_4;Data Handling
607001;607;REL_CRE_STRAND_1;Creation
607002;607;REL_CRE_STRAND_2;The Holy Bible
607003;607;REL_CRE_STRAND_3;The Life of Jesus Christ
607004;607;REL_CRE_STRAND_4;Christian Values
607005;607;REL_CRE_STRAND_5;The Church
607006;607;REL_CRE_STRAND_6;Morality and Social Media
608001;608;REL_IRE_STRAND_1;Qur'an
608002;608;REL_IRE_STRAND_2;Hadith
608003;608;REL_IRE_STRAND_3;Pillars of Iman
608004;608;REL_IRE_STRAND_4;Devotional Acts
608005;608;REL_IRE_STRAND_5;Akhlaq (Moral Teachings)
608006;608;REL_IRE_STRAND_6;Muamalaat (Social Relations)
608007;608;REL_IRE_STRAND_7;History of Islam
609001;609;REL_HIN_STRAND_1;Creation
609002;609;REL_HIN_STRAND_2;Manifestations of Paramatma
609003;609;REL_HIN_STRAND_3;Scriptures
609004;609;REL_HIN_STRAND_4;Worship
609005;609;REL_HIN_STRAND_5;Sudaachaar
609006;609;REL_HIN_STRAND_6;Yoga
609007;609;REL_HIN_STRAND_7;Principles of Dharma
609008;609;REL_HIN_STRAND_8;Utsav (Festivals)
610001;610;CRE_ARTS_STRAND_1;Creating and Executing
610002;610;CRE_ARTS_STRAND_2;Performing and Displaying
610003;610;CRE_ARTS_STRAND_3;Appreciation in Creative Arts
612001;612;SOC_STUD_STRAND_1;Natural and Built Environments
612002;612;SOC_STUD_STRAND_2;People and Population
612003;612;SOC_STUD_STRAND_3;Social Organisations
612004;612;SOC_STUD_STRAND_4;Resources and Economic Activities
612005;612;SOC_STUD_STRAND_5;Citizenship and Governance in Kenya
701001;701;ENG_STRAND_1;Listening and Speaking
701002;701;ENG_STRAND_2;Reading
701003;701;ENG_STRAND_3;Grammar in use
701004;701;ENG_STRAND_4;Writing
702001;702;KIS_KSL_STRAND_1;Kusikiliza na Kuzungumza
702002;702;KIS_KSL_STRAND_2;Kusoma
702003;702;KIS_KSL_STRAND_3;Kuandika
702004;702;KIS_KSL_STRAND_4;Sarufi
704001;704;AGRI_STRAND_1;Conservation of Resources
704002;704;AGRI_STRAND_2;Food Production Processes
704003;704;AGRI_STRAND_3;Hygiene Practices
704004;704;AGRI_STRAND_4;Production Techniques
705001;705;SCI_TECH_STRAND_1;Living Things and their Environment
705002;705;SCI_TECH_STRAND_2;Matter
705003;705;SCI_TECH_STRAND_3;Force and Energy
706001;706;MATH_STRAND_1;Numbers
706002;706;MATH_STRAND_2;Measurement
706003;706;MATH_STRAND_3;Geometry
706004;706;MATH_STRAND_4;Data Handling
707001;707;REL_CRE_STRAND_1;Creation
707002;707;REL_CRE_STRAND_2;The Holy Bible
707003;707;REL_CRE_STRAND_3;The Life of Jesus Christ
707004;707;REL_CRE_STRAND_4;Christian Values
707005;707;REL_CRE_STRAND_5;The Church
707006;707;REL_CRE_STRAND_6;Morality and Social Media
708001;708;REL_IRE_STRAND_1;Qur'an
708002;708;REL_IRE_STRAND_2;Hadith
708003;708;REL_IRE_STRAND_3;Pillars of Iman
708004;708;REL_IRE_STRAND_4;Devotional Acts
708005;708;REL_IRE_STRAND_5;Akhlaq (Moral Teachings)
708006;708;REL_IRE_STRAND_6;Muamalaat (Social Relations)
708007;708;REL_IRE_STRAND_7;History of Islam
709001;709;REL_HIN_STRAND_1;Creation
709002;709;REL_HIN_STRAND_2;Manifestations of Paramatma
709003;709;REL_HIN_STRAND_3;Scriptures
709004;709;REL_HIN_STRAND_4;Worship
709005;709;REL_HIN_STRAND_5;Sudaachaar
709006;709;REL_HIN_STRAND_6;Yoga
709007;709;REL_HIN_STRAND_7;Principles of Dharma
709008;709;REL_HIN_STRAND_8;Utsav (Festivals)
710001;710;CRE_ARTS_STRAND_1;Creating and Executing
710002;710;CRE_ARTS_STRAND_2;Performing and Displaying
710003;710;CRE_ARTS_STRAND_3;Appreciation in Creative Arts
712001;712;SOC_STUD_STRAND_1;Natural and Built Environments
712002;712;SOC_STUD_STRAND_2;People and Population
712003;712;SOC_STUD_STRAND_3;Social Organisations
712004;712;SOC_STUD_STRAND_4;Resources and Economic Activities
712005;712;SOC_STUD_STRAND_5;Citizenship and Governance in Kenya
801001;801;ENG_STRAND_1;Listening and Speaking
801002;801;ENG_STRAND_2;Reading
801003;801;ENG_STRAND_3;Grammar in use
801004;801;ENG_STRAND_4;Writing
802001;802;KIS_KSL_STRAND_1;Kusikiliza na Kuzungumza
802002;802;KIS_KSL_STRAND_2;Kusoma
802003;802;KIS_KSL_STRAND_3;Kuandika
802004;802;KIS_KSL_STRAND_4;Sarufi
804001;804;AGRI_STRAND_1;Conservation of Resources
804002;804;AGRI_STRAND_2;Food Production Processes
804003;804;AGRI_STRAND_3;Hygiene Practices
804004;804;AGRI_STRAND_4;Production Techniques
805001;805;SCI_TECH_STRAND_1;Living Things and their Environment
805002;805;SCI_TECH_STRAND_2;Matter
805003;805;SCI_TECH_STRAND_3;Force and Energy
806001;806;MATH_STRAND_1;Numbers
806002;806;MATH_STRAND_2;Measurement
806003;806;MATH_STRAND_3;Geometry
806004;806;MATH_STRAND_4;Data Handling
807001;807;REL_CRE_STRAND_1;Creation
807002;807;REL_CRE_STRAND_2;The Holy Bible
807003;807;REL_CRE_STRAND_3;The Life of Jesus Christ
807004;807;REL_CRE_STRAND_4;Christian Values
807005;807;REL_CRE_STRAND_5;The Church
807006;807;REL_CRE_STRAND_6;Morality and Social Media
808001;808;REL_IRE_STRAND_1;Qur'an
808002;808;REL_IRE_STRAND_2;Hadith
808003;808;REL_IRE_STRAND_3;Pillars of Iman
808004;808;REL_IRE_STRAND_4;Devotional Acts
808005;808;REL_IRE_STRAND_5;Akhlaq (Moral Teachings)
808006;808;REL_IRE_STRAND_6;Muamalaat (Social Relations)
808007;808;REL_IRE_STRAND_7;History of Islam
809001;809;REL_HIN_STRAND_1;Creation
809002;809;REL_HIN_STRAND_2;Manifestations of Paramatma
809003;809;REL_HIN_STRAND_3;Scriptures
809004;809;REL_HIN_STRAND_4;Worship
809005;809;REL_HIN_STRAND_5;Sudaachaar
809006;809;REL_HIN_STRAND_6;Yoga
809007;809;REL_HIN_STRAND_7;Principles of Dharma
809008;809;REL_HIN_STRAND_8;Utsav (Festivals)
810001;810;CRE_ARTS_STRAND_1;Creating and Executing
810002;810;CRE_ARTS_STRAND_2;Performing and Displaying
810003;810;CRE_ARTS_STRAND_3;Appreciation in Creative Arts
812001;812;SOC_STUD_STRAND_1;Natural and Built Environments
812002;812;SOC_STUD_STRAND_2;People and Population
812003;812;SOC_STUD_STRAND_3;Social Organisations
812004;812;SOC_STUD_STRAND_4;Resources and Economic Activities
812005;812;SOC_STUD_STRAND_5;Citizenship and Governance in Kenya
901001;901;ENG_STRAND_1;Listening and Speaking
901002;901;ENG_STRAND_2;Reading
901003;901;ENG_STRAND_3;Grammar in use
901004;901;ENG_STRAND_4;Writing
902001;902;KIS_KSL_STRAND_1;Kusikiliza na Kuzungumza
902002;902;KIS_KSL_STRAND_2;Kusoma
902003;902;KIS_KSL_STRAND_3;Kuandika
902004;902;KIS_KSL_STRAND_4;Sarufi
904001;904;AGRI_STRAND_1;Conservation of Resources
904002;904;AGRI_STRAND_2;Food Production Processes
904003;904;AGRI_STRAND_3;Hygiene Practices
904004;904;AGRI_STRAND_4;Production Techniques
905001;905;SCI_TECH_STRAND_1;Living Things and their Environment
905002;905;SCI_TECH_STRAND_2;Matter
905003;905;SCI_TECH_STRAND_3;Force and Energy
906001;906;MATH_STRAND_1;Numbers
906002;906;MATH_STRAND_2;Measurement
906003;906;MATH_STRAND_3;Geometry
906004;906;MATH_STRAND_4;Data Handling
907001;907;REL_CRE_STRAND_1;Creation
907002;907;REL_CRE_STRAND_2;The Holy Bible
907003;907;REL_CRE_STRAND_3;The Life of Jesus Christ
907004;907;REL_CRE_STRAND_4;Christian Values
907005;907;REL_CRE_STRAND_5;The Church
907006;907;REL_CRE_STRAND_6;Morality and Social Media
908001;908;REL_IRE_STRAND_1;Qur'an
908002;908;REL_IRE_STRAND_2;Hadith
908003;908;REL_IRE_STRAND_3;Pillars of Iman
908004;908;REL_IRE_STRAND_4;Devotional Acts
908005;908;REL_IRE_STRAND_5;Akhlaq (Moral Teachings)
908006;908;REL_IRE_STRAND_6;Muamalaat (Social Relations)
908007;908;REL_IRE_STRAND_7;History of Islam
909001;909;REL_HIN_STRAND_1;Creation
909002;909;REL_HIN_STRAND_2;Manifestations of Paramatma
909003;909;REL_HIN_STRAND_3;Scriptures
909004;909;REL_HIN_STRAND_4;Worship
909005;909;REL_HIN_STRAND_5;Sudaachaar
909006;909;REL_HIN_STRAND_6;Yoga
909007;909;REL_HIN_STRAND_7;Principles of Dharma
909008;909;REL_HIN_STRAND_8;Utsav (Festivals)
910001;910;CRE_ARTS_STRAND_1;Creating and Executing
910002;910;CRE_ARTS_STRAND_2;Performing and Displaying
910003;910;CRE_ARTS_STRAND_3;Appreciation in Creative Arts
912001;912;SOC_STUD_STRAND_1;Natural and Built Environments
912002;912;SOC_STUD_STRAND_2;People and Population
912003;912;SOC_STUD_STRAND_3;Social Organisations
912004;912;SOC_STUD_STRAND_4;Resources and Economic Activities
912005;912;SOC_STUD_STRAND_5;Citizenship and Governance in Kenya
912006;413;HOME_SCI_4_S1;Nutrition and Food
912007;413;HOME_SCI_4_S2;Clothing and Textiles
912008;414;PHE_4_S1;Physical Activities
912009;414;PHE_4_S2;Health Awareness
912010;513;HOME_SCI_5_S1;Nutrition and Food
912011;513;HOME_SCI_5_S2;Clothing and Textiles
912012;514;PHE_5_S1;Physical Activities
912013;514;PHE_5_S2;Health Awareness
912014;613;HOME_SCI_6_S1;Nutrition and Food
912015;613;HOME_SCI_6_S2;Clothing and Textiles
912016;614;PHE_6_S1;Physical Activities
912017;614;PHE_6_S2;Health Awareness
912018;713;INT_SCI_7_S1;Scientific Investigation
912019;713;INT_SCI_7_S2;Matter and Energy
912020;713;INT_SCI_7_S3;Life Sciences
912021;714;HEALTH_ED_7_S1;Personal Health
912022;714;HEALTH_ED_7_S2;Community Health
912023;715;PRE_TECH_7_S1;Technical Drawing
912024;715;PRE_TECH_7_S2;Workshop Practice
912025;715;PRE_TECH_7_S3;Career Exploration
912026;716;BUS_STUD_7_S1;Business Concepts
912027;716;BUS_STUD_7_S2;Financial Literacy
912028;717;LIFE_SKILLS_7_S1;Self-Awareness
912029;717;LIFE_SKILLS_7_S2;Social Skills
912030;718;SPORTS_PE_7_S1;Team Sports
912031;718;SPORTS_PE_7_S2;Individual Sports
912032;813;INT_SCI_8_S1;Scientific Investigation
912033;813;INT_SCI_8_S2;Matter and Energy
912034;813;INT_SCI_8_S3;Life Sciences
912035;814;HEALTH_ED_8_S1;Personal Health
912036;814;HEALTH_ED_8_S2;Community Health
912037;815;PRE_TECH_8_S1;Technical Drawing
912038;815;PRE_TECH_8_S2;Workshop Practice
912039;815;PRE_TECH_8_S3;Career Exploration
912040;816;BUS_STUD_8_S1;Business Concepts
912041;816;BUS_STUD_8_S2;Financial Literacy
912042;817;LIFE_SKILLS_8_S1;Self-Awareness
912043;817;LIFE_SKILLS_8_S2;Social Skills
912044;818;SPORTS_PE_8_S1;Team Sports
912045;818;SPORTS_PE_8_S2;Individual Sports
912046;913;INT_SCI_9_S1;Scientific Investigation
912047;913;INT_SCI_9_S2;Matter and Energy
912048;913;INT_SCI_9_S3;Life Sciences
912049;914;HEALTH_ED_9_S1;Personal Health
912050;914;HEALTH_ED_9_S2;Community Health
912051;915;PRE_TECH_9_S1;Technical Drawing
912052;915;PRE_TECH_9_S2;Workshop Practice
912053;915;PRE_TECH_9_S3;Career Exploration
912054;916;BUS_STUD_9_S1;Business Concepts
912055;916;BUS_STUD_9_S2;Financial Literacy
912056;917;LIFE_SKILLS_9_S1;Self-Awareness
912057;917;LIFE_SKILLS_9_S2;Social Skills
912058;918;SPORTS_PE_9_S1;Team Sports
912059;918;SPORTS_PE_9_S2;Individual Sports
912060;413;HOME_SCI_4_S1;Nutrition and Food
912061;413;HOME_SCI_4_S2;Clothing and Textiles
912062;414;PHE_4_S1;Physical Activities
912063;414;PHE_4_S2;Health Awareness
912064;513;HOME_SCI_5_S1;Nutrition and Food
912065;513;HOME_SCI_5_S2;Clothing and Textiles
912066;514;PHE_5_S1;Physical Activities
912067;514;PHE_5_S2;Health Awareness
912068;613;HOME_SCI_6_S1;Nutrition and Food
912069;613;HOME_SCI_6_S2;Clothing and Textiles
912070;614;PHE_6_S1;Physical Activities
912071;614;PHE_6_S2;Health Awareness
912072;713;INT_SCI_7_S1;Scientific Investigation
912073;713;INT_SCI_7_S2;Matter and Energy
912074;713;INT_SCI_7_S3;Life Sciences
912075;714;HEALTH_ED_7_S1;Personal Health
912076;714;HEALTH_ED_7_S2;Community Health
912077;715;PRE_TECH_7_S1;Technical Drawing
912078;715;PRE_TECH_7_S2;Workshop Practice
912079;715;PRE_TECH_7_S3;Career Exploration
912080;716;BUS_STUD_7_S1;Business Concepts
912081;716;BUS_STUD_7_S2;Financial Literacy
912082;717;LIFE_SKILLS_7_S1;Self-Awareness
912083;717;LIFE_SKILLS_7_S2;Social Skills
912084;718;SPORTS_PE_7_S1;Team Sports
912085;718;SPORTS_PE_7_S2;Individual Sports
912086;813;INT_SCI_8_S1;Scientific Investigation
912087;813;INT_SCI_8_S2;Matter and Energy
912088;813;INT_SCI_8_S3;Life Sciences
912089;814;HEALTH_ED_8_S1;Personal Health
912090;814;HEALTH_ED_8_S2;Community Health
912091;815;PRE_TECH_8_S1;Technical Drawing
912092;815;PRE_TECH_8_S2;Workshop Practice
912093;815;PRE_TECH_8_S3;Career Exploration
912094;816;BUS_STUD_8_S1;Business Concepts
912095;816;BUS_STUD_8_S2;Financial Literacy
912096;817;LIFE_SKILLS_8_S1;Self-Awareness
912097;817;LIFE_SKILLS_8_S2;Social Skills
912098;818;SPORTS_PE_8_S1;Team Sports
912099;818;SPORTS_PE_8_S2;Individual Sports
912100;913;INT_SCI_9_S1;Scientific Investigation
912101;913;INT_SCI_9_S2;Matter and Energy
912102;913;INT_SCI_9_S3;Life Sciences
912103;914;HEALTH_ED_9_S1;Personal Health
912104;914;HEALTH_ED_9_S2;Community Health
912105;915;PRE_TECH_9_S1;Technical Drawing
912106;915;PRE_TECH_9_S2;Workshop Practice
912107;915;PRE_TECH_9_S3;Career Exploration
912108;916;BUS_STUD_9_S1;Business Concepts
912109;916;BUS_STUD_9_S2;Financial Literacy
912110;917;LIFE_SKILLS_9_S1;Self-Awareness
912111;917;LIFE_SKILLS_9_S2;Social Skills
912112;918;SPORTS_PE_9_S1;Team Sports
912113;918;SPORTS_PE_9_S2;Individual Sports
